"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","138","test_nem_szamok","","Mon Nov 25 17:44:24 GMT 2024","passed","Mon Nov 25 17:44:25 GMT 2024","TestTC","teglalap_test","",""
"","146","test_ures","","Mon Nov 25 17:44:25 GMT 2024","passed","Mon Nov 25 17:44:25 GMT 2024","TestTC","teglalap_test","",""
"","3960","test_tc1","","Mon Nov 25 17:44:19 GMT 2024","passed","Mon Nov 25 17:44:23 GMT 2024","TestTC","penzfeldobas_test","",""
"","138","test_helytelen","","Mon Nov 25 17:44:16 GMT 2024","passed","Mon Nov 25 17:44:16 GMT 2024","TestTC","email_test","",""
"","123","test_helyes","","Mon Nov 25 17:44:18 GMT 2024","passed","Mon Nov 25 17:44:18 GMT 2024","TestTC","email_test","",""
"","137","test_helyes","","Mon Nov 25 17:44:23 GMT 2024","passed","Mon Nov 25 17:44:24 GMT 2024","TestTC","teglalap_test","",""
"","109","test_ures","","Mon Nov 25 17:44:17 GMT 2024","passed","Mon Nov 25 17:44:17 GMT 2024","TestTC","email_test","",""
