"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","254","test_helyes","","Mon Nov 25 15:55:44 GMT 2024","passed","Mon Nov 25 15:55:44 GMT 2024","TestTC","email_test","",""
"","159","test_nem_szamok","","Mon Nov 25 15:55:51 GMT 2024","passed","Mon Nov 25 15:55:51 GMT 2024","TestTC","teglalap_test","",""
"","154","test_helyes","","Mon Nov 25 15:55:50 GMT 2024","passed","Mon Nov 25 15:55:51 GMT 2024","TestTC","teglalap_test","",""
"","129","test_ures","","Mon Nov 25 15:55:43 GMT 2024","failed","Mon Nov 25 15:55:43 GMT 2024","TestTC","email_test","",""
"","1599","test_helytelen","","Mon Nov 25 15:55:41 GMT 2024","failed","Mon Nov 25 15:55:42 GMT 2024","TestTC","email_test","",""
"","158","test_ures","","Mon Nov 25 15:55:52 GMT 2024","passed","Mon Nov 25 15:55:52 GMT 2024","TestTC","teglalap_test","",""
"","4487","test_tc1","","Mon Nov 25 15:55:45 GMT 2024","passed","Mon Nov 25 15:55:49 GMT 2024","TestTC","penzfeldobas_test","",""
