"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","158","test_helyes","","Mon Nov 25 15:53:51 GMT 2024","passed","Mon Nov 25 15:53:51 GMT 2024","TestTC","teglalap_test","",""
"","183","test_helytelen","","Mon Nov 25 15:53:44 GMT 2024","failed","Mon Nov 25 15:53:44 GMT 2024","TestTC","email_test","",""
"","128","test_helyes","","Mon Nov 25 15:53:45 GMT 2024","passed","Mon Nov 25 15:53:45 GMT 2024","TestTC","email_test","",""
"","160","test_nem_szamok","","Mon Nov 25 15:53:52 GMT 2024","passed","Mon Nov 25 15:53:52 GMT 2024","TestTC","teglalap_test","",""
"","3990","test_tc1","","Mon Nov 25 15:53:46 GMT 2024","passed","Mon Nov 25 15:53:50 GMT 2024","TestTC","penzfeldobas_test","",""
"","128","test_ures","","Mon Nov 25 15:53:44 GMT 2024","failed","Mon Nov 25 15:53:45 GMT 2024","TestTC","email_test","",""
"","157","test_ures","","Mon Nov 25 15:53:53 GMT 2024","passed","Mon Nov 25 15:53:53 GMT 2024","TestTC","teglalap_test","",""
