"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","test_helyes","","Mon Nov 25 15:49:57 GMT 2024","passed","Mon Nov 25 15:49:57 GMT 2024","TestTC","email_test","",""
"","0","test_nem_szamok","","Mon Nov 25 15:49:57 GMT 2024","broken","Mon Nov 25 15:49:57 GMT 2024","TestTC","teglalap_test","",""
"","2399","test_helytelen","","Mon Nov 25 15:49:53 GMT 2024","failed","Mon Nov 25 15:49:55 GMT 2024","TestTC","email_test","",""
"","0","test_helyes","","Mon Nov 25 15:49:57 GMT 2024","broken","Mon Nov 25 15:49:57 GMT 2024","TestTC","teglalap_test","",""
"","129","test_ures","","Mon Nov 25 15:49:56 GMT 2024","failed","Mon Nov 25 15:49:56 GMT 2024","TestTC","email_test","",""
"","0","test_tc1","","Mon Nov 25 15:49:57 GMT 2024","broken","Mon Nov 25 15:49:57 GMT 2024","TestTC","penzfeldobas_test","",""
"","0","test_ures","","Mon Nov 25 15:49:58 GMT 2024","broken","Mon Nov 25 15:49:58 GMT 2024","TestTC","teglalap_test","",""
